risk_type_id:Key,name:String,is_active:Normal,is_default:Normal,project_template_id:Normal,risk_workflow_id:Normal
1,Business,1,1,1,1
2,Technical,1,0,1,1
3,Financial,1,0,1,1
4,Schedule,1,0,1,1
5,Other,1,0,1,1
6,Business,1,1,2,2
7,Technical,1,0,2,2
8,Financial,1,0,2,2
9,Schedule,1,0,2,2
10,Other,1,0,2,2
11,Business,1,1,3,3
12,Technical,1,0,3,3
13,Financial,1,0,3,3
14,Schedule,1,0,3,3
15,Other,1,0,3,3
16,Business,1,1,4,4
17,Technical,1,0,4,4
18,Financial,1,0,4,4
19,Schedule,1,0,4,4
20,Other,1,0,4,4
